xsga,loc,revt,at,ib,naics,oibdp,invt,gsubind,seq,isin,che,gsector,cogs,rect,sic,ggroup,conm,dltt,ppent,gvkey,dp,gind,oancf,ceq,ebit,lt,fyear,act,sale,ebitda,datadate,emp,dlc,lct,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
1412.0,DEU,14955.0,28639.0,1780.0,334413.0,4828.0,3990.0,45301020.0,17219.0,DE0006231004,2201.0,45.0,6760.0,2770.0,3674.0,4530.0,INFINEON TECHNOLOGIES AG,4595.0,6476.0,132740,1865.0,453010.0,2780.0,17219.0,2963.0,11420.0,2024.0,9793.0,14955.0,4828.0,2024-09-30,58.065,573.0,5146.0,10.346031635182792,10.337417968523143,19.81277164827817,32.283517218321634,11.90237378803076,1.9030314807617568,1.1276719782355227,0.42771084337349397,0.26685637958069575,0.300133573378245,60.124306016271525,39.87569398372848,0.522190020601278,257.55618703177475,5.398916967509026,67.60615178869942,-8.302164449077198,0.70325960828439,-0.8960573476702649,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
309.873,DEU,2808.579,4067.28,318.867,561599.0,496.411,15.555,50202010.0,1026.957,DE0005470306,1748.388,50.0,1989.932,353.584,7990.0,5020.0,CTS EVENTIM AG & CO KGAA,96.723,217.881,234919,78.081,502020.0,506.419,1026.957,418.33,2884.745,2024.0,2406.091,2808.579,496.411,2024-12-31,4.434,24.575,2497.395,10.285252060344996,31.04969341462203,14.894720782288836,17.67480993057343,11.353321377109207,0.963440304797599,0.9572118147109289,0.7000846882451515,0.09418407976185954,0.11811400087832304,25.249232902578626,70.92565547491198,0.6905300348144214,633.4188092016238,7.9431733336350065,45.951408167617856,19.08064778728644,27.287902785901608,25.43140028288544,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
1113.1,DEU,8857.5,14577.8,902.5,221122.0,2114.5,538.7,55101010.0,3931.6,,751.9,55.0,5286.4,2066.8,4931.0,5510.0,EWE-ENERGIEVERSORGUNG WESER,2631.7,7364.7,210359,629.6,551010.0,931.2,3931.6,1484.9,9869.5,2024.0,4318.1,8857.5,2114.5,2024-12-31,10.899,485.4,3532.2,10.186036301773932,22.955031030623665,16.764324019192774,23.872424499012137,10.189105278012983,1.2224958949096882,1.069984712077459,0.21287016590227054,0.669371248346729,0.7928324346322108,26.969775960707377,67.70225960021403,0.607601970118948,812.6892375447289,4.28561060576737,85.16872706745696,-13.854308500291769,-7.67174823137482,0.49792531120329553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
2383.0,DEU,9751.0,14344.0,804.0,332994.0,1806.0,3989.0,20101010.0,4050.0,DE0007030009,1253.0,20.0,4692.0,2848.0,3480.0,2010.0,RHEINMETALL AG,1871.0,1661.0,100312,386.0,201010.0,1720.0,4050.0,1420.0,9880.0,2024.0,8231.0,9751.0,1806.0,2024-12-31,28.539,552.0,6782.0,9.899609592861127,19.85185185185185,14.562608963183262,18.521177315147163,8.245308173520664,1.2136537894426422,0.6254792096726629,0.1847537599528163,0.46197530864197534,0.5982716049382716,28.234802007808142,68.87897378694925,0.6797964305633017,341.67279862644097,3.423806179775281,106.60650189724132,35.883500557413605,22.52498505167848,15.295115743546251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
629.284,DEU,2046.841,2886.43,130.797,5418.0,566.727,40.586,50201010.0,465.5,DE0007493991,75.491,50.0,860.222,259.608,7310.0,5020.0,STROEER SE & CO KGAA,1436.188,1147.243,295079,288.58,502010.0,454.493,465.5,278.147,2409.816,2024.0,425.443,2046.841,566.727,2024-12-31,11.858,363.131,856.623,9.636367415804298,28.098174006444683,13.589086792769933,27.68788586900497,6.390188588170748,0.49665138573211315,0.4492723169935899,0.08812628192331982,3.085258861439313,3.86534693877551,16.127188256773938,83.48776862768194,0.7091254594776246,172.61266655422497,7.884352562324735,46.294226078136994,6.922056280787525,5.303192261696732,3.0771905424200385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
3666.6,DEU,34936.7,64277.7,1243.7,2211.0,7773.0,3014.3,55101010.0,10232.9,DE0005220008,8757.7,55.0,25943.1,5242.4,4911.0,5510.0,ENBW ENERGIE BADEN,18526.4,29670.5,216524,1705.2,551010.0,2620.2,10232.9,6067.8,46509.9,2024.0,21484.3,34936.7,7773.0,2024-12-31,28.597,4278.5,13964.3,9.439976850447357,12.153934857176363,17.36798266579271,22.24880999064022,3.559866844893765,1.538516073129337,1.3226584934439964,0.6271492305378716,1.8104740591621145,2.228586226778333,15.919829116474299,72.35775393332369,0.543527537544125,1221.6910864776023,6.664256828933313,54.7697979488618,-21.991568756168256,-0.6817173963092782,12.8576502624413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
234.7,DEU,2061.3,5854.9,347.4,518210.0,583.6,10.6,45102020.0,1922.7,DE0007472060,2859.4,45.0,1102.5,1055.4,7374.0,4510.0,WIRECARD AG,1375.9,81.5,242158,97.0,451020.0,749.6,1922.7,486.6,3932.2,2018.0,3925.5,2061.3,583.6,2018-12-31,5.369,133.9,2339.6,8.310987378093564,18.0683413949134,23.606461941493233,28.312230146024355,16.853442002619705,1.6778509146862712,1.6733202256796034,1.2221747307232007,0.7156082592188069,0.7852499089821606,32.83916036140669,67.16083963859332,0.3520640830757144,383.9262432482772,1.9530983513359863,186.8825498471838,34.26399063610766,29.318008685106033,14.428815004262564,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,0,High Performers
0.0,DEU,118397.0,304934.0,11209.0,517111.0,46037.0,2451.0,50101020.0,63296.0,DE0005557508,8478.0,50.0,67748.0,22303.0,4813.0,5010.0,DEUTSCHE TELEKOM,134361.0,92727.0,221616,21638.0,501010.0,39874.0,63296.0,24399.0,206294.0,2024.0,37161.0,118397.0,46037.0,2024-12-31,198.194,15391.0,35182.0,8.001403582414556,17.708859959555106,20.607785670245025,38.8835865773626,9.467300691740501,1.0562503552953215,0.9865840486612473,0.24097549883463135,2.1227407735085944,2.3658998988877653,20.75727862422688,67.65201650193157,0.3882709045236018,597.3793353986498,5.30856835403309,68.75676748566264,3.2312910341700807,5.039182928299546,-0.7302706709674811,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
5895.0,DEU,21156.0,51567.0,2777.0,325412.0,5892.0,4484.0,35202010.0,29912.0,DE0006599905,3075.0,35.0,6826.0,4900.0,2834.0,3520.0,MERCK KGAA,6997.0,10025.0,220301,1806.0,352020.0,4586.0,29912.0,4086.0,21580.0,2024.0,13450.0,21156.0,5892.0,2024-12-31,59.02,3273.0,11294.0,7.923672115888068,9.2838994383525,19.313669880884856,27.850255246738513,13.126299867649841,1.190897821852311,0.7938728528422171,0.27226846112980346,0.2339194971917625,0.3433404653650709,58.006089165551614,41.848468982100954,0.41026237710163477,358.4547610979329,4.317551020408163,84.53866515409341,0.7764492926213507,6.334673677698732,-6.180453996312075,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
671.9,DEU,1847.1,5388.6,68.3,511130.0,684.5,35.6,50201040.0,1810.7,DE000SPG1003,300.1,50.0,237.6,461.7,2731.0,5020.0,SPRINGER NATURE AG,1873.2,186.5,327148,280.1,502010.0,531.2,1810.7,404.4,3574.6,2024.0,852.9,1847.1,684.5,2024-12-31,9.136,20.6,819.4,7.504732212448502,3.7720218699950294,21.893779438038006,37.058091061664236,3.697688268095934,1.040883573346351,0.9974371491335123,0.3662435928728338,1.034517037609764,1.0458938532059423,33.60241992354229,66.33633968006532,0.3427792005344616,202.17819614711033,4.000649772579597,91.23517947052136,-0.31840259039396246,-0.41765227675930605,-0.10933741526352181,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,True,0,High Performers
2983.0,DEU,24224.0,98440.0,5135.0,221122.0,8686.0,2560.0,55105010.0,31549.0,DE0007037129,11941.0,55.0,15916.0,7911.0,4911.0,5510.0,RWE AKTIENGESELLSCHAFT,14772.0,37447.0,100953,1895.0,551050.0,6620.0,31549.0,6791.0,64817.0,2024.0,35022.0,24224.0,8686.0,2024-12-31,20.985,3898.0,27575.0,6.898618447785452,16.276268661447272,28.03418097754293,35.85700132100396,21.197985468956407,1.2700634632819583,1.1772257479601087,0.4330371713508613,0.46822403245744715,0.5917778693460966,32.04896383583909,65.84416903697684,0.2460788297440065,1154.3483440552777,3.062065478447731,119.20058619550859,-15.199887978715953,-7.562867391590133,4.221504842314361,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,0,High Performers
68.6,DEU,1095.3,11035.8,473.1,517810.0,899.5,0.0,50101020.0,5543.3,DE000A3H3LL2,177.5,50.0,46.1,418.2,4899.0,5010.0,VANTAGE TOWERS AG,1751.5,3561.8,347036,415.9,501010.0,797.5,5543.3,483.6,5492.5,2022.0,599.8,1095.3,899.5,2023-03-31,0.711,2460.8,3098.7,4.382101886587289,8.534627388017968,44.152287044645306,82.12361909979002,43.193645576554374,0.19356504340529898,0.19356504340529898,0.05728208603607965,0.3159670232532968,0.7598903180415998,50.23016002464706,49.769839975352944,0.09924971456532376,1540.506329113924,2.6190817790530847,139.36181867981375,7.036059806508366,2.9305327563050154,33.39587242026265,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,3,True,0,High Performers
18.688,DEU,222.432,2519.698,27.221,221114.0,159.818,0.339,55105020.0,692.012,,195.576,55.0,7.431,65.523,4911.0,5510.0,CAPITAL STAGE AG,1364.777,1455.168,248220,102.493,551050.0,153.037,692.012,57.325,1818.313,2017.0,277.428,222.432,159.818,2017-12-31,0.108,124.608,182.821,2.2750742350869038,3.9336023074744375,25.771921306286867,71.85027334196519,12.23789742483096,1.517484315259188,1.515630042500588,1.0697676962712162,1.97218689849309,2.1522531401189577,27.464084981612874,72.16392599430567,0.08827724592391628,2059.5555555555557,3.394716359141065,107.52002859300819,56.881995725862765,7.0482288829495365,16.129032258064523,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,4,True,0,High Performers
